num,command,hit-level,damage,startup,blocked,hit,counter,note
0,레이지 2AP,중(잡기),"10, 45",20,-22,잡기,잡기,레아
1,레이지 4RP+LK,중중,"10, 10",22,8,시동,시동,레드
2,레이지 4RP+LK 6,중중,"10, 10",22,6,다운,다운,월바운드
3,레이지 4RP+LK 4,중중,"10, 10(, 3)",22,-7,시동,시동,-
4,LP,상,7,10,1,8,8,-
5,LP LP,상상,"7, 9",10,-3,8,8,-
6,LP LP RP,상상중,"7, 9, 17",10,-9,5,다운,-
7,LP RP,상상,"7, 9",10,-5,6,6,-
8,LP RP*,상상,"7, 9",-,-5,6,6,자세이행
9,LP RP RP,상상중,"7, 9, 22",10,4,시동,시동,-
10,LP RP RK,상상상,"7, 9, 13",10,-9,1,다운,-
11,LP RK,상상,"7, 17",10,-6,3,3,-
12,LP RK RP,상상중,"7, 17, 20",10,-4,7,다운,-
13,RP,상,9,11,-8,3,3,-
14,RP LP,상상,"9, 12",11,-7,4,4,-
15,RP LP RK,상상하,"9, 12, 15",-,-12,3,다운,-
16,RP RP,상중,"9, 17",-,-14,1,1,-
17,RP RP RP,상중중,"9, 17, 17",-,-14,다운,다운,-
18,RP RP RP RP,상중중중,"9, 17, 17, 20",-,-14,다운,다운,-
19,LK,상,25,13,-9,2,2,-
20,RK,상,17,12,-6,3,3,-
21,RK RP,상중,"17, 20",-,-5,6,다운,-
22,AP,상중,"14, 24",13,-14,다운,다운,-
23,RP+LK,중,0,14,-7,2,14,-
24,6RP,상,10,14,-7,4,4,-
25,6RP RP,상중(잡기),"10, 15(, 25)",-,-12,잡기,잡기,-
26,6LK,중,13,18,-7,9,9,-
27,6LK RP,중중,"13, 20",-,-19,다운,다운,-
28,6AP,중,21,24,-15,시동,시동,파워크러시
29,6RP+LK,하,16,28,-12,5,5,-
30,3LP,중,13,13,-3,4,4,-
31,3LP LP,중상,"13, 9",-,-4,7,7,-
32,3LP LP RP,중상중,"13, 9, 21",-,-13,다운,다운,스크류
33,3LP RP,중중,"13, 20",-,-11,7,7,-
34,3RP LP*,중중,"13, 20",-,-11,7,7,-
35,3RP,중,12,15,-14,시동,시동,-
36,3RP*,중,12,-,-15,시동,시동,자세이행
37,3LK,중,13,15,-7,4,4,-
38,3LK LP,중상,"13, 12",-,-2,9,9,-
39,3LK LP RP,중상중,"13, 12, 20",-,-11,4,다운,-
40,3LK LP RP*,중상중,"13, 12, 20",-,-11,4,다운,자세이행
41,3LK LP RK,중상중,"13, 12, 23",-,-14,다운,다운,-
42,3RK,중,15,14,-7,4,4,-
43,3RK RP,중상,"15, 20",-,1,6,6,-
44,3RK RP*,중상,"15, 20",-,5,10,10,자세이행
45,3RK LK,중중,"15, 18",-,-9,-7,다운,-
46,3AP,중중,"10, 15",22,-14,다운,다운,-
47,1/2LP,특중,5,10,-5,6,6,-
48,2RP,중,"17(, 30)",17,-9,2,잡기,-
49,2LK,하,12,15,-12,-1,-1,-
50,2RK,하,7,12,-13,-2,-2,-
51,1RP,하,25,24,-14,7,7,-
52,1LK,하,12,16,-15,-4,-4,-
53,1RK,하,16,19,-13,3,7,-
54,LK,상,15,14,-7,-1,-1,-
55,RK,상,15,12,-8,3,3,-
56,RK RP,상 중,"15,15",12,-14,-1,-1,-
57,AP,상 중,"17,24",18,-14,다운,스크류,"호밍기, 스크류"
58,AP 4,상,17,18,-9,-3,-3,호밍기
59,6RP,특중,"8(,25)",20,-9,잡기,잡기,-
60,6LK,중,14,16,-9,9,9,-
61,6LK RP,중특중,"14,5(,20)",16,-11,잡기,잡기,-
62,6RK,중,13,17,-8,8,8,-
63,6RK RP,중중,"13,23",17,-11,다운,다운,스크류
64,6AP,중,24,16,-19,다운,다운,-
65,6LP+RK,중,24,23,-13,다운,다운,파워크러시
66,3LP,중,10,13,-1,7,7,-
67,3LP RP,중특중,"10,5(,20)",13,-12,다운,다운,-
68,3LP RK,중상,"10,20",13,-5,다운,다운,스크류
69,3RP,중,20,15,-20,시동,시동,-
70,3LK,중,9,16,-13,-2,-2,-
71,3LK LP,중상,"9,7",16,-10,-3,-3,-
72,3RK,중,12,14~15,-7,4,4,-
73,3RK RP,중상,"12,17",14~15,-2,8,8,-
74,3RK RP RK,중상상,"12,17,20",14~15,-5,다운,다운,스크류
75,3RK RP RP,중상중,"12,17,21",14~15,-8,시동,시동,-
76,3AP,중,27,25,-9,다운,다운,스크류
77,2LP,중중,"10,10",17,-3,4,4,-
78,2RP,하,15,20,-15,0,0,-
79,2RP RP,하상,"15,23",20,-9,10,다운,스크류
80,1/2 LK,하,13,16,-13,-2,-2,-
81,2RK,하,9,19,-31,-9,-9,-
82,2RK LP,하상,"9(13),20",19,-12,4,4,-
83,2RK LP AP ,하상중,"9(13),20,25(28)",19,-18,다운,다운,-
