num,command,hit-level,damage,startup,blocked,hit,counter,note
0,4LP+RK,중,20,26,-9,4,4,주먹반격시 다운
1,4RP+LK,가불중단,50,69,다운,다운,다운,-
2,7/8/9LP,상,17,13~14,-4,8,다운,-
3,7/8/9RP,중,21,30,-8,시동,시동,-
4,7/8/9LK,"중(,중)","11(,23)",17,-13,시동,시동,-
5,7/8/9LK 8,"중(,중)","11(,23)",17,-13,시동,시동,-
6,7/8/9RK,상,20,19,-3,다운,다운,"호밍, 스크류"
7,74,-,-,-,-,-,-,-
8,7/8/9.,-,-,-,-,-,-,-
9,공중 LP,중,7,9,-23,-16,-16,-
10,공중 RP,중,14,10,-22,-15,-15,-
11,공중 RP RP,중중,"14,14",-,-,-,-,-
12,공중 RP RP RP,중중중,"14,14,23",-,-,-,-,스크류
13,공중 LK,중,10,10,-22,-15,-15,-
14,공중 RK,중 ,12,12,-21,-14,-14,-
15,공중 AP,중,27,41,9,다운,다운,-
16,66RK,중,"15(,14,21)",19,-14,잡기,잡기,-
17,66AP,중,20,15,-9,10,다운,"호밍기, 스크류"
18,66AK,상,50,30,-8,다운,다운,-
19,666AP,중,25,23,11,시동,시동,-
20,2_LP,특중,5,10,-5,6,6,-
21,2_LP,특중,8,11,-9,5,5,-
22,2_LK,하,12,16,-17,-3,-3,-
23,2_RK,하,10,12,-15,-4,-4,-
24,기상 LP,중,10,13,-8,6,6,-
25,기상 LP RP,중중,"10,23",13,-13,2,다운,-
26,기상 RP,중,15,15,-9,-3,-3,-
27,기상 RP RP,중중,"13,23",15,-14,5,스크류,스크류
28,기상 LK,중,12,14,-7,9,9,-
29,기상 LK RP,중중,"12,5(,20)",14,-11,잡기,잡기,-
30,기상RK,중,15,11,-6,5,5,-
31,2_3LP,중,25,16,-9,다운,다운,-
32,LP LP RP,상상중,"7, 9, 17",10,-9,5,다운,-
33,LP RP,상상,"7, 9",10,-5,6,6,-
34,LP RP*,상상,"7, 9",-,-5,6,6,자세이행
35,LP RP RP,상상중,"7, 9, 22",10,4,시동,시동,-
36,LP RP RK,상상상,"7, 9, 13",10,-9,1,다운,-
37,LP RK,상상,"7, 17",10,-6,3,3,-
38,LP RK RP,상상중,"7, 17, 20",10,-4,7,다운,-
39,RP,상,9,11,-8,3,3,-
40,RP LP,상상,"9, 12",11,-7,4,4,-
41,RP LP RK,상상하,"9, 12, 15",-,-12,3,다운,-
42,RP RP,상중,"9, 17",-,-14,1,1,-
43,RP RP RP,상중중,"9, 17, 17",-,-14,다운,다운,-
44,RP RP RP RP,상중중중,"9, 17, 17, 20",-,-14,다운,다운,-
45,LK,상,25,13,-9,2,2,-
46,RK,상,17,12,-6,3,3,-
47,RK RP,상중,"17, 20",-,-5,6,다운,-
48,AP,상중,"14, 24",13,-14,다운,다운,-
49,RP+LK,중,0,14,-7,2,14,-
50,6RP,상,10,14,-7,4,4,-
51,6RP RP,상중(잡기),"10, 15(, 25)",-,-12,잡기,잡기,-
52,6LK,중,13,18,-7,9,9,-
53,6LK RP,중중,"13, 20",-,-19,다운,다운,-
54,6AP,중,21,24,-15,시동,시동,파워크러시
55,6RP+LK,하,16,28,-12,5,5,-
56,3LP,중,13,13,-3,4,4,-
57,3LP LP,중상,"13, 9",-,-4,7,7,-
58,3LP LP RP,중상중,"13, 9, 21",-,-13,다운,다운,스크류
59,3LP RP,중중,"13, 20",-,-11,7,7,-
60,3RP LP*,중중,"13, 20",-,-11,7,7,-
61,3RP,중,12,15,-14,시동,시동,-
62,3RP*,중,12,-,-15,시동,시동,자세이행
63,3LK,중,13,15,-7,4,4,-
64,3LK LP,중상,"13, 12",-,-2,9,9,-
65,3LK LP RP,중상중,"13, 12, 20",-,-11,4,다운,-
66,3LK LP RP*,중상중,"13, 12, 20",-,-11,4,다운,자세이행
67,3LK LP RK,중상중,"13, 12, 23",-,-14,다운,다운,-
68,3RK,중,15,14,-7,4,4,-
69,3RK RP,중상,"15, 20",-,1,6,6,-
70,3RK RP*,중상,"15, 20",-,5,10,10,자세이행
71,3RK LK,중중,"15, 18",-,-9,-7,다운,-
72,3AP,중중,"10, 15",22,-14,다운,다운,-
73,1/2LP,특중,5,10,-5,6,6,-
74,2RP,중,"17(, 30)",17,-9,2,잡기,-
75,2LK,하,12,15,-12,-1,-1,-
76,2RK,하,7,12,-13,-2,-2,-
77,1RP,하,25,24,-14,7,7,-
78,1LK,하,12,16,-15,-4,-4,-
79,1RK,하,16,19,-13,3,7,-
80,1AP,상,26,21,-8,11,다운,호밍기
81,1AP*,상단가불,33,43,11,11,다운,호밍기
82,4LP,중,12,16,-9,2,2,-
83,4LP RP,중중,"12,  23",-,-10,다운,다운,스크류
84,4RP,상,15,16,-9,-3,-3,호밍기
85,4RP RP,상중,"15, 20(, 30)",-,-11,잡기,잡기,-
86,4RP LK,상중,"15, 20",-,-6,다운,다운,-
87,4LK,하,22,23,-12,5,11,-
88,4RK,중,20,20,-9,2,스턴,-
89,4AP,중,25,22,4,다운,시동,-
90,7/8/9 AP,중단,12,18,-12,-1,-1,-
91,7RP,중,20,25,-20,스턴,스턴,-
92,8RP,상,25,24,-9,다운,다운,-
93,9RP,중,20,16~17,-11,7,스턴,반격불가
94,9RP*,중,20,16~17,-11,7,스턴,반격불가
95,7/8/9 LK,중,25,29,-9,다운,다운,-
96,7/8/9 RK,중,20,17,-7,-5,스턴,-
97,9nRK,중,25,23,-11,다운,다운,-
98,66RP,중,22,18,-9,다운,다운,-
99,66LK,중,13,18,-4,8,8,-
100,66LK RP,중중,"13, 23",-,-20,다운,다운,-
101,66RK,중,23,24,4,다운,다운,월바운드
102,66AP,중,21,28,-6,스턴,스턴,-
103,236 LP,중,25,14,-19,다운,다운,-
104,666RP,중,30,20,9,다운,다운,-
105,2_LP,특중,5,10,-5,6,6,-
106,2_RP,특중,8,13,-7,4,4,-
107,2_LK,하,12,16,-15,-4,-4,-
108,2_RK ,하,10,12,-15,-4,-4,-
109,기상LP,중,11,12,-3,8,8,-
110,기상LP RP,중중,20,-,-11,7,7,-
111,기상LP RP*,중중,20,-,-11,7,7,자세이행
112,기상RP,중,20,15,-16,스턴,스턴,-
113,기상RP*,중,20,-,-16,스턴,자세이행,-
114,기상LK,중,13,14,-7,-9,9,-
115,기상LK RP,중,"13, 20",-,-19,다운,다운,-
116,기상RK,중,18,11,-5,6,6,-
117,2_3RP,하,19,20,-13,3,다운,-
118,횡RP,상,23,20,-13,3,다운,-
119,RP+AK,-,-,-,-,-,-,파워크러시
