num,command,hit-level,damage,startup,blocked,hit,counter,note
0,2AP,중,55,20 파크,-32,잡기,잡기,레아
1,6LK+RP,특중,"10,30",18,2,잡기,잡기,레드
2,LP,상,7,10,1,8,8,-
3,LP RP,상상,"7,8",10,-2,6,6,1타히트시 확정
4,LP RP RP,상상상,"7,8,12",10,-11,1,1,1타히트시 확정
5,LP RP LK/RK,상상,"7,8",-,-26,-18,-18,-
6,LP RP AP,상상중,"7,8,23",10,-9,다운,다운,스크류
7,RP,중,9,15,-12,6,6,-
8,RP RP,중중,"9,13",15,-9,6,6,1타히트시 확정
9,RP RP RP,중중상,"9,13,7",15,-8,-2,-2,-
10,RP RP RP RP,중중상상,"9,13,7,7",15,-7,7,7,3타히트시 확정
11,RP RP RP RP RP,중중상상상,"9,13,7,7,15",15,-14,다운,다운,3타히트시 확정
12,RP RP 6RP,중중중,"9,13,23",15,-14,5,스크류,스크류
13,RP RP 4RP,중중특중,"9,9,5,(20)",15,-11,잡기,잡기,-
14,LK,상,15,14,-7,-1,-1,-
15,RK,상,15,12,-8,3,3,-
16,RK RP,상 중,"15,15",12,-14,-1,-1,-
17,AP,상 중,"17,24",18,-14,다운,스크류,"호밍기, 스크류"
18,AP 4,상,17,18,-9,-3,-3,호밍기
19,6RP,특중,"8(,25)",20,-9,잡기,잡기,-
20,6LK,중,14,16,-9,9,9,-
21,6LK RP,중특중,"14,5(,20)",16,-11,잡기,잡기,-
22,6RK,중,13,17,-8,8,8,-
23,6RK RP,중중,"13,23",17,-11,다운,다운,스크류
24,6AP,중,24,16,-19,다운,다운,-
25,6LP+RK,중,24,23,-13,다운,다운,파워크러시
26,3LP,중,10,13,-1,7,7,-
27,3LP RP,중특중,"10,5(,20)",13,-12,다운,다운,-
28,3LP RK,중상,"10,20",13,-5,다운,다운,스크류
29,3RP,중,20,15,-20,시동,시동,-
30,3LK,중,9,16,-13,-2,-2,-
31,3LK LP,중상,"9,7",16,-10,-3,-3,-
32,3RK,중,12,14~15,-7,4,4,-
33,3RK RP,중상,"12,17",14~15,-2,8,8,-
34,3RK RP RK,중상상,"12,17,20",14~15,-5,다운,다운,스크류
35,3RK RP RP,중상중,"12,17,21",14~15,-8,시동,시동,-
36,3AP,중,27,25,-9,다운,다운,스크류
37,2LP,중중,"10,10",17,-3,4,4,-
38,2RP,하,15,20,-15,0,0,-
39,2RP RP,하상,"15,23",20,-9,10,다운,스크류
40,1/2 LK,하,13,16,-13,-2,-2,-
41,2RK,하,9,19,-31,-9,-9,-
42,2RK LP,하상,"9(13),20",19,-12,4,4,-
43,2RK LP AP ,하상중,"9(13),20,25(28)",19,-18,다운,다운,-
44,1LP,중,10,15,-6,3,3,-
45,1LP AP,중중중,"10,7,10",15,-5,6,6,-
46,1LP 6,중,7,15,-6,0,0,-
47,1RP,하,20,24,-19,다운,다운,-
48,1RK,하,9,17,-12,-1,-1,-
49,1AP,중,25,25,-16,시동,시동,-
50,1AP(홀드),WND,32,46,6,시동,시동,-
51,4LP,상,10,12,-11,0,0,-
52,4LP RP,상상,"10,21",12,-9,7,7,-
53,4RP,중,13,14~15,-9,6,6,-
54,4RP AP,"중,잡기","13,7,17",14~15,-,6,6,-
55,4LK,상,14,14,-12,-1,-1,-
56,4LK LP,상중,"14,23",14,-14,다운,다운,-
57,4LK 4,상,14,14,-8,3,3,-
58,4RK,상,17,18,-7,7,7,-
59,4RK AP,상중,"17,27",20,-13,다운,시동,-
60,4LP+RK,중,20,26,-9,4,4,주먹반격시 다운
61,4RP+LK,가불중단,50,69,다운,다운,다운,-
62,7/8/9LP,상,17,13~14,-4,8,다운,-
63,7/8/9RP,중,21,30,-8,시동,시동,-
64,7/8/9LK,"중(,중)","11(,23)",17,-13,시동,시동,-
